,title,rating,review,address,user_id
2552,Radisson Blu Hotel,2.8,970,"İstiklal Cad. No:20 Ulus, Ankara 06100 Türkiye",9
2877,Swissotel Ankara,0.0,727,"Yildizevler Mahallesi Jose Marti Caddesi No: 2, Ankara 06550 Türkiye",5
2633,Savis Hotel,2.9,20,"Ziya Gokalp Cad., No 27/C, Kizilay, Ankara 06610 Türkiye",1
1519,Gimat Otel,1.8,14,"Bağdat Cad. No:91 Ostim, Yenimahalle Macunkoy, Ankara 06200 Türkiye",3
333,Best Western Plus Center Hotel,0.4,27,"Meşrutiyet mh Olgunlar Cad. 5/B, Ankara 06420 Türkiye",4
246,Mersin Hotel Ankara,0.4,1,"Milli Mudafa Cad. 16 Kizilay, Ankara Türkiye",6
1522,Hotel Ferah,4.1,1,"Denizciler Cad No 58, Ulus, Ankara 06000 Türkiye",6
2758,Ankara Madi Hotel,1.8,6,"Altındağ Mahallesi, Rüzgarlı Cadde No: 19 Altındağ, Ulus, Ankara 06030 Türkiye",6
2992,City Hotel,3.5,3,"Ulubatli Hasan Sok. Istasyon Mah, No:13 Etimesgut, Ankara Türkiye",1
1276,Hotel İçkale,2.5,300,"Gazi Mustafa Kemal Bulv. No:89 Maltepe, Çankaya, Ankara 06570 Türkiye",9
2407,N'evo Studios,1.8,33,"Alacaatli Mah. 3158. Cad No. 38 Alacaatli, Ankara 06810 Türkiye",4
2817,Aktaş Otel,3.3,1,"Soğuk Kuyu Sok. No:4 Rüzgarlı, Altındağ, Ankara Türkiye",5
582,Anıt Park Otel,2.1,14,"Gazi Mustafa Kemal Bulv. Kubilay Sok. No:45 Tandoğan, Çankaya, Ankara Türkiye",3
63,Elit Palas Hotel,2.0,47,"Bestekar Sokak No:26, Ankara 81580 Türkiye",3
1743,Lagania As Hotel,2.8,3,"Kurtuluş Mahallesi, İrfan Gümüşel Cd. Beypazarı, Beypazarı Çarşı İçi, Ankara 06730 Türkiye",8
2487,Bürokrat Evi,1.2,2,"Kubilay Sk. No 2 Anıttepe Mahallesi, Ankara 06580 Türkiye",4
556,Ozilhan Hotel,0.8,9,"Akay Cad. No:9 Bakanliklar, Ankara 06640 Türkiye",7
1224,Starton Hotel,0.7,8,"Dr. Mediha Eldem Sok. 37 Kizilay, Çankaya, Ankara 06420 Türkiye",7
520,Grand Duman Hotel,2.0,2,"Çankırı Cad. Orta Sok. No:7, Ankara 06120 Türkiye",1
2277,Atakosk Hotel,4.1,63,"Mevlana Bulvarı 148, Cukurambar, Ankara 06510 Türkiye",4
2838,Litai Hotel & SPA,2.5,37,"Oguzlar Mah. Ilhami Soysal Sok No. 3 Balgat, Ankara Türkiye",6
975,ROX Hotel Ankara,1.3,16,"Necatibey Cad. Kızılay Mah. No: 5 / 2 B Çankaya, Ankara 06420 Türkiye",8
1210,Hotel Deniz,2.2,8,"Anafartalar Mah. Denizciler Cad. No:36 Ulus, Altındağ, Ankara 6240 Türkiye",3
3158,Litai Hotel & SPA,1.1,37,"Oguzlar Mah. Ilhami Soysal Sok No. 3 Balgat, Ankara Türkiye",7
493,Melodi Hotel,1.0,1,"Karanfil Sok. 10 Kizilay, Ankara Türkiye",4
2901,Ankara Princess Otel,1.7,81,"Ziya Gökalp Cad. No 8 Mesrutiyet Mahallesi, Ankara 6420 Türkiye",10
3143,concept house,0.0,3,"BÜLBÜLDERESİ CAD 31 NM çankaya, Ankara 06660 Türkiye",2
3174,Hotel Abro Necatibey,2.0,68,"Necatibey Caddesi No 28 Kizilay, Ankara Türkiye",3
755,Grand Midyat Otel,3.1,6,"Meşrutiyet Cad. Karanfil Sok. No:22 Kızılay, Ankara Türkiye",7
840,Grand Duman Hotel,4.1,2,"Çankırı Cad. Orta Sok. No:7, Ankara 06120 Türkiye",2
2179,Lion City Hotel Ankara,3.3,4,"Örnek Mahallesi Omer Halis Demir Bulvari No. 1 Altındağ, Ankara 06080 Türkiye",5
2539,Raymar Hotels Ankara,4.1,97,"Meşrutiyet Mah. Selanik 2 Cad. No: 74, Ankara 06420 Türkiye",6
2108,Esenboğa Airport Hotel,0.0,80,"Esenboğa Havalimanı Yolu 16. Km. Sarayköy, Ankara 06150 Türkiye",4
3040,Elit Otel,2.6,9,"Olgunlar Caddesi No 6 Bakanliklar, Ankara 06640 Türkiye",9
678,Hotel Excellence Inn,2.3,22,"Prof. Dr. Ahmet Taner Kislali Mah 2914 Cad No 4 Cayyolu Cankaya, Ankara 06810 Türkiye",10
1442,Otel Santral,3.1,1,"Denizciler Cad. Dibek Sok. No:4 Ulus/İsmetpaşa, Altındağ, Ankara Türkiye",6
1959,Gordion Hotel,2.6,125,"Tunalı Hilmi Cd, Büklüm Sok. No:59 Kavaklıdere, Ankara 06660 Türkiye",5
506,Rain House,1.7,3,"Murat Mahallesi Koza-1 Cadde No:152, Ankara 06700 Türkiye",7
1260,Seven Deep Hotel,2.6,54,"Bestekar Sk. No: 72 Çankaya, Ankara 06680 Türkiye",3
617,Berlitz Hotel,3.0,4,"Hukumet Cad. No:4/B Ulus, AltIndag, Ankara 06100 Türkiye",8
1340,Yeni Bahar Otel,3.4,15,"Doğanbey Mah. Çankırı Cad. No: 25 Altındağ, Ankara 06030 Türkiye",4
1629,Otel Mithat,1.8,103,"Opera Meydanı Tavus Sok. No:2 Ulus, Altındağ, Ankara 06050 Türkiye",4
714,King Hotel,1.8,54,"Piyade Sokak No: 17 Çankaya, Ankara 06550 Türkiye",6
797,Villa Pansiyon,2.0,2,"Incek Bulvari Atilim Universitesi Kavsagi No 661, Ankara 06830 Türkiye",9
3096,Anka Konutları,0.8,2,"Ataç-2 Sokak, No: 63 Kültür Mah., Ankara 06530 Türkiye",5
2007,Anittepe Vilayetler Evi,1.1,9,"Genclik Cd. No 18 , Cankaya, Ankara 06570 Türkiye",3
468,Cimse Hotel,2.0,2,"Ozveren Sokak No:19 Maltepe / Cankaya, Ankara 06100 Türkiye",9
1247,Alba Ankara Hotel,0.0,225,"Yüksel Cad. No:19 Kızılay, Ankara 06000 Türkiye",10
2100,M&G Hostel,1.0,6,"Emek Mah. Biskek Cad. 30 sk. no 43 Emek, Ankara Türkiye",6
553,Otto Loft Premium Apartments,0.2,2,"Maltepe Mah. Özveren Sokak 23 Cankaya, Ankara 06570 Türkiye",4
2568,Grand Ankara Hotel & Convention Center,1.1,323,"Ataturk Bulvari No:183 Kavaklidere, Ankara 06680 Türkiye",6
495,Bulduk Otel,0.0,11,"Sanayi Cad. No:26 Ulus/İsmetpaşa, Altındağ, Ankara 06050 Türkiye",6
1983,Elit Palas Hotel,2.0,47,"Bestekar Sokak No:26, Ankara 81580 Türkiye",9
759,Aden Apart,1.6,2,"596. Sokak 15, Ankara 06550 Türkiye",1
798,Ankara Vali Abdülkadir Aksu Vilayetler Evi,2.9,1,"Çamlıca Mah. 1. Cad. No:2 Demetevler, Yenimahalle, Ankara Türkiye",10
3197,Swissotel Ankara,2.6,727,"Yildizevler Mahallesi Jose Marti Caddesi No: 2, Ankara 06550 Türkiye",6
3127,Bürokrat Evi,4.0,2,"Kubilay Sk. No 2 Anıttepe Mahallesi, Ankara 06580 Türkiye",6
46,Anadolu Hotels DownTown Ankara,3.6,189,"Beştepeler Mh. Yasam Cd. 1.Sk. No:7/B Söğütözü, Ankara 06520 Türkiye",6
1277,Swissotel Ankara,3.0,727,"Yildizevler Mahallesi Jose Marti Caddesi No: 2, Ankara 06550 Türkiye",10
19,The Mara Palace,2.2,24,"Kırlangıç Sok. No:5 Çankaya, Ankara 06700 Türkiye",9
1318,Hotel Excellence Inn,2.6,22,"Prof. Dr. Ahmet Taner Kislali Mah 2914 Cad No 4 Cayyolu Cankaya, Ankara 06810 Türkiye",2
1878,Litai Hotel & SPA,2.4,37,"Oguzlar Mah. Ilhami Soysal Sok No. 3 Balgat, Ankara Türkiye",3
2615,Grand Sera Hotel,3.5,20,"Denizciler cad.No:16, Altindag, Ankara 06030 Türkiye",3
2199,The Wings Hotels Neva Palas,4.0,51,"Esat Cad 32 Kucukesat, Ankara 06640 Türkiye",5
1256,Lion City Hotel Kızılay,2.8,1,"Kocatepe Mahallesi Bayındır 2 Sokak no:35, Ankara 06420 Türkiye",9
1486,Grand Sıla Otel,1.7,4,"Saray Mah. İstanbul Yolu 27. Km. Kazan Merkez, Kazan, Ankara Türkiye",10
2020,Asrin Business Hotel,0.1,55,"Izmir Caddesi Elgun Sokak No: 6 Kızılay/Ankara, Ankara 06420 Türkiye",6
1808,Hotel Ayma,4.3,13,"Meşrutiyet Cad. No:25 Kızılay, Çankaya, Ankara Türkiye",3
237,Aycha Butik Hotel,0.3,3,"Fakulteler Mahallesi Cemal Gursel Caddesi No 45 Cebeci, Ankara Türkiye",7
1308,Konur Hotel,0.0,47,"Mesrutiyet Mah. Konur Sok.No:7 KIzIlay-Ankara, Ankara 06060 Türkiye",2
3119,Gimat Otel,2.1,14,"Bağdat Cad. No:91 Ostim, Yenimahalle Macunkoy, Ankara 06200 Türkiye",8
259,Lion City Hotel Ankara,1.0,4,"Örnek Mahallesi Omer Halis Demir Bulvari No. 1 Altındağ, Ankara 06080 Türkiye",9
1526,Mersin Hotel Ankara,1.8,1,"Milli Mudafa Cad. 16 Kizilay, Ankara Türkiye",10
147,Grand Verda Hotel,1.5,49,"Rüzgarlı Eşdost Sok. No:6 Ulus/İsmetpaşa, Altındağ, Ankara 06030 Türkiye",7
1362,ONYX Business Hotel Ankara,3.1,27,"Tunali Hilmi Caddesi No: 74, Kavaklidere - Cankaya, Ankara Türkiye",6
1047,Anittepe Vilayetler Evi,3.6,9,"Genclik Cd. No 18 , Cankaya, Ankara 06570 Türkiye",10
545,Thebes Dora Hotel,2.0,2,"No: 4 Cayyolu, Ankara Türkiye",6
694,Maltepe 2000 Hotel,1.8,170,"Gülseren Sok. No:4 Maltepe, Çankaya, Ankara 06540 Türkiye",6
2052,Ankara Hotel Pino,2.3,8,"Bayraktar Mah. Bayrakli Sok. No: 35, Ankara 6700 Türkiye",8
2000,Q Hotel,0.0,5,"Buklum Caddesi No. 15, Ankara 06680 Türkiye",6
1477,Hotel Hitit Aile,0.6,4,"Hisarparki Caddesi No 12, Ankara 06250 Türkiye",1
2430,Hotel Etap Bulvar,1.8,16,"Olgunlar Cad. No:4 Bakanlıklar, Ankara 06680 Türkiye",7
1687,Anittepe Vilayetler Evi,2.6,9,"Genclik Cd. No 18 , Cankaya, Ankara 06570 Türkiye",2
461,Ak Life Hotel & Suite,4.1,1,"Kırkpınar Sk. No.21, Ankara 06540 Türkiye",2
1761,Ankara Jolly Hotel,4.5,1,"Irfan Bastug Caddesi No 1 Yildirim Beyazit Bulvari, Ankara 06070 Türkiye",6
3150,Cassiel Hotel,3.3,36,"Turan Gunes Bulvari, Tagore Caddesi, 717.Sokak, No:3, Ankara 06550 Türkiye",9
2544,Altinel Ankara Hotel & Convention Center,4.1,408,"Gazi Mustafa Kemal Bulvari 151, Tandogan, Ankara 06570 Türkiye",1
853,Ankara Selvi Otel,2.5,25,"Cankiri cad. No: 16, Ankara 06030 Türkiye",5
3046,Ankara Konaklari,3.2,1,"Anafartalar Mah. Denizciler Cad. No:41, Ankara 06030 Türkiye",5
2079,Turan Otel,2.8,1,"Çankırı Cad. Beşik Sok. No:3 Ulus/İsmetpaşa, Altındağ, Ankara Türkiye",5
2503,concept house,4.0,3,"BÜLBÜLDERESİ CAD 31 NM çankaya, Ankara 06660 Türkiye",10
1954,Akar International Hotel,2.8,37,"Gazi Mustafa Kemal Bulv. No:111 Maltepe, Çankaya, Ankara Türkiye",10
92,İlci Residence Otel,3.3,28,"Maltepe Mah. Gazi Mustafa Kemal Bulv. No: 135 Çankaya, Tandoğan, Ankara Türkiye",2
2128,Hotel Ayma,1.2,13,"Meşrutiyet Cad. No:25 Kızılay, Çankaya, Ankara Türkiye",4
1024,Golden Boutique Hotel,1.8,39,"Boğaz Sokak No: 18 Kavaklıdere Gop, Ankara 06700 Türkiye",7
947,Hotel2017,2.5,53,"Necatibey Cad. No: 68 Çankaya, Kızılay, Ankara 06430 Türkiye",9
2709,Ankara Risiss Hotel,3.3,10,"Libya Cd. No: 30 Çankaya, Kızılay, Ankara Türkiye",7
915,And Hotel,1.6,18,"İçkale Mah. İstek Sok. No:2 Altındağ Merkez, Altındağ, Ankara Türkiye",7
1628,Konur Hotel,3.2,47,"Mesrutiyet Mah. Konur Sok.No:7 KIzIlay-Ankara, Ankara 06060 Türkiye",3
3039,Turan Otel,0.8,1,"Çankırı Cad. Beşik Sok. No:3 Ulus/İsmetpaşa, Altındağ, Ankara Türkiye",8
1498,Akya Hotel,1.6,12,"Meşrutiyet Mahallesi, Karanfil Sok. No: 9 Çankaya, Ankara 06650 Türkiye",2
2922,Kahya Hotel,0.0,73,"Korkutreis Mahallesi, Yeşilırmak Caddesi, No:14 Demirtepe, Ankara 06400 Türkiye",1
923,Ramada Hotel,1.6,311,"Tunalı Hilmi Caddesi No:66 Kavaklıdere, Ankara 06660 Türkiye",5
2460,Ankara Regency Hotel,2.0,12,"Selanik Cad. No:37 Kızılay, Ankara Türkiye",7
623,The Ankara Hotel,4.0,103,"Eti Mahallesi, Celal Bayar Bulvarı No: 78, Ankara 06930 Türkiye",4
1174,Esila Hotel,3.1,24,"GMK Bulvarı No: 109 Maltepe, Ankara 06570 Türkiye",7
1353,Savis Hotel,1.0,20,"Ziya Gokalp Cad., No 27/C, Kizilay, Ankara 06610 Türkiye",7
1846,Mersin Hotel Ankara,2.3,1,"Milli Mudafa Cad. 16 Kizilay, Ankara Türkiye",1
1358,Ozdemir Palas,2.6,7,"Bayındır 1 Sokak No:24, Ankara 06430 Türkiye",2
1296,Holiday Inn Ankara - Çukurambar,2.2,267,"İşçi Blokları Mah. 1484 Sk. No 3 (Konya yolu üzeri), Ankara 06520 Türkiye",10
1374,Vivaldi Park Hotel,3.2,14,"Birlik Mahallesi 408. Sokak No:1 Çankaya, Ankara 06610 Türkiye",8
29,Otel Mithat,3.5,103,"Opera Meydanı Tavus Sok. No:2 Ulus, Altındağ, Ankara 06050 Türkiye",9
2138,Akya Hotel,1.4,12,"Meşrutiyet Mahallesi, Karanfil Sok. No: 9 Çankaya, Ankara 06650 Türkiye",4
412,İlci Residence Otel,1.0,28,"Maltepe Mah. Gazi Mustafa Kemal Bulv. No: 135 Çankaya, Tandoğan, Ankara Türkiye",3
2155,Hotel Selanik,2.9,3,"Selanik 2 Sk. No 47 Meşrutiyet Cd, Ankara Türkiye",1
2729,Grandwork Hotel,2.1,10,"Hoşdere Cad. No:142 Ayrancı, Çankaya, Ankara 06520 Türkiye",7
1060,Asrin Business Hotel,3.6,55,"Izmir Caddesi Elgun Sokak No: 6 Kızılay/Ankara, Ankara 06420 Türkiye",3
3003,Vivaldi Hotel,2.2,40,"Turan Güneş Bulvarı Rabindranath Tagore Cad. (4. Cad.) 697 Sok. No:3, Ankara 06550 Türkiye",2
293,Demora Hotel Kavaklıdere,1.6,1,"Esat Cd. No:51 Kavaklıdere Mahallesi, Ankara 06101 Türkiye",3
2618,Ontur Butik Otel,3.6,33,"Kenedy Cad. No:144 100.Yıl, Ankara Türkiye",6
3107,Madi Ankara Inci Hotel,3.6,1,"Cankiri Cad. No: 54, Ulus, Ankara 06630 Türkiye",6
2465,Thebes Dora Hotel,0.9,2,"No: 4 Cayyolu, Ankara Türkiye",2
1061,TEDAŞ Misafirhanesi,2.0,4,"R Blok İnönü Bulvarı No: 27 Çankaya, Bahçelievler, Ankara Türkiye",4
2936,Class Otel,2.0,39,"Bestekar Sok. No:64 Kavaklıdere, Çankaya, Ankara 06680 Türkiye",5
1631,New Gate Hotel,0.0,37,"Eti Mahallesi, GMK Bulvarı No: 92 Maltepe, Ankara 06570 Türkiye",6
2384,Doğa Residence Otel,1.0,19,"Ataç 1 Sok. No:11 Kızılay, Çankaya, Ankara 06410 Türkiye",1
2453,Ankara Selvi Otel,1.5,25,"Cankiri cad. No: 16, Ankara 06030 Türkiye",10
2545,Tunalı Hotel,1.7,84,"Tunalı Hilmi Cad. No:119 Kavaklıdere, Çankaya, Ankara 06700 Türkiye",2
1160,Grand Duman Hotel,1.9,2,"Çankırı Cad. Orta Sok. No:7, Ankara 06120 Türkiye",3
386,CK Farabi Otel,3.6,59,"Cinnah Cad. Farabi Sok. No:34 Cankaya, Ankara 06690 Türkiye",7
2676,Ankara Inn,2.4,2,"Izmir Cad 12 Kizilay, Ankara 06440 Türkiye",4
2962,ONYX Business Hotel Ankara,2.2,27,"Tunali Hilmi Caddesi No: 74, Kavaklidere - Cankaya, Ankara Türkiye",1
2693,Ada Palas Otel,2.3,1,"Doğanbey Mah. Rüzgarlı Cad. No:23 Ulus/İsmetpaşa, Altındağ, Ankara Türkiye",1
1231,Enerji Otel,1.5,28,"Bayındır 1 Sok. No:8 Kızılay, Çankaya, Ankara Türkiye",4
2847,Alba Ankara Hotel,1.1,225,"Yüksel Cad. No:19 Kızılay, Ankara 06000 Türkiye",5
1168,Hotel Ayma,3.3,13,"Meşrutiyet Cad. No:25 Kızılay, Çankaya, Ankara Türkiye",1
370,Warwick Ankara,4.0,74,"Tahran Caddesi No: 5 Çankaya, Kavaklıdere, Ankara 06680 Türkiye",1
2113,Royal Anka Hotel,5.0,37,"G.M.K Bulvary No:96 Maltepe, Ankara Türkiye",9
2660,Asrin Business Hotel,4.0,55,"Izmir Caddesi Elgun Sokak No: 6 Kızılay/Ankara, Ankara 06420 Türkiye",8
1665,Şahinbey Otel,2.0,31,"Hisarpark Cad. Alataş Sok. No:5 Ulus/İsmetpaşa, Altındağ, Ankara 6050 Türkiye",10
2513,Apart Hotel Best,1.6,50,"Uğur Mumcu Sok. No 71 Gaziosmanpasa, Ankara 06700 Türkiye",10
2171,Yayla Club,1.4,8,"Ankara-Istanbul Eski E-5 Karayolu 108.Km Meseler Yaylasi Kizilcahamam, Ankara Türkiye",7
110,Reda Palas Selanik,1.6,2,"Selanik Cad No 37 Kizilay, Ankara 06650 Türkiye",10
2477,Aycha Butik Hotel,3.5,3,"Fakulteler Mahallesi Cemal Gursel Caddesi No 45 Cebeci, Ankara Türkiye",4
211,Amar Hotel,4.5,19,"Cinnah Cad. Nergiz Sok. No:11, Ankara Türkiye",1
1379,Kocatepe Hotel,0.8,23,"Mesrutiyet Cd. 33, Ankara 06420 Türkiye",3
1467,Ankara Trend House Apart,2.8,1,"Asagi Ovecler Mahallesi, 1326. Sokak No: 3, Ankara 06460 Türkiye",1
22,Atalay Hotel,2.4,52,"Çankırı Cad. No 20, Ankara 06030 Türkiye",2
781,Ak Life Hotel & Suite,3.1,1,"Kırkpınar Sk. No.21, Ankara 06540 Türkiye",3
588,Aldino Residence,3.0,13,"Buklum Sokak No: 103, Ankara 06700 Türkiye",9
1821,White Tail,1.8,3,"Elmadag Kayak Merkezi Elmadag, Ankara Türkiye",6
1942,Atalay Hotel,3.0,52,"Çankırı Cad. No 20, Ankara 06030 Türkiye",8
3122,Hotel Ferah,1.5,1,"Denizciler Cad No 58, Ulus, Ankara 06000 Türkiye",1
2886,Check Inn Hotel,0.0,156,"Filistin Caddesi No:1, Ankara 06700 Türkiye",5
709,Hm Commerce Hotel,2.1,45,"Melih Gökçek Bulvarı No.63 Yenimahalle, Ankara 06378 Türkiye",1
1008,Ankara Atli Otel,1.1,65,"Ilkbahar Mah., 596.Sokak No:79, Ankara 06550 Türkiye",1
62,Asal Otel,2.8,31,"Çankırı Cad. No:29 Ulus, Altındağ, Ankara 06030 Türkiye",2
414,Vivaldi Park Hotel,2.5,14,"Birlik Mahallesi 408. Sokak No:1 Çankaya, Ankara 06610 Türkiye",5
1450,Double Bond House Spa,2.0,5,"100.Yıl Mahallesi Baglar Caddesi No:230/1, Ankara 06530 Türkiye",4
2788,Canbek Hotel,3.0,3,"Sogukkuyu Sokak No. 8, Ankara Türkiye",6
2239,Sheraton Ankara Hotel & Convention Center,1.5,551,"Noktali Sokak Kavaklidere, Ankara 06700 Türkiye",5
2032,City Hotel,4.3,3,"Ulubatli Hasan Sok. Istasyon Mah, No:13 Etimesgut, Ankara Türkiye",8
2124,Koyunlu Hotel,3.0,4,"Ulucanlar Cd. No:35 Saman Pazari, Ankara 06610 Türkiye",10
1950,Koru Hotel Cankaya,1.9,47,"Kazım Ozalp Mah. Kuleli Cad. No:51, Ankara 06540 Türkiye",6
967,Gurkent Hotel,2.8,86,"Mithat Paşa Cad. No:4 Sıhhıye, Ankara 06410 Türkiye",10
2567,Gurkent Hotel,3.0,86,"Mithat Paşa Cad. No:4 Sıhhıye, Ankara 06410 Türkiye",5
2649,Bianco Boutique Hotel,0.9,24,"Koza Sok. No:43 Gaziosmanpaşa (Gop), Çankaya, Ankara 06700 Türkiye",7
552,Erek Butik Hotel,1.8,1,"Libya Caddesi Becerikli Sokak No: 21, Ankara 06420 Türkiye",3
1419,Grand Elitta Hotel,3.3,3,"Büyük Esat Mah. Uğurmumcu Cad. Kız Kulesi Sok. No: 36 Çankaya, Ankara 06700 Türkiye",3
3146,No 19 Boutique Hotel,2.3,63,"Birlik mahallesi 457. Sokak No. 19 Cankaya, Ankara 06660 Türkiye",5
913,Apart Hotel Best,0.5,50,"Uğur Mumcu Sok. No 71 Gaziosmanpasa, Ankara 06700 Türkiye",5
2716,Gazi Park Hotel,1.8,53,"Alparslan Türkeş Cad. No:69 Beştepe Mah., Yenimahalle, Ankara Türkiye",4
1693,Sc Inn Hotel Ankara,4.5,45,"Bulten Sokak, No 54, Ankara 06680 Türkiye",8
2501,Park 12,4.0,1,"Kazım Özalp Mah. Kız Kulesi Sk. No: 12 Çankaya, Ankara 06700 Türkiye",8
2895,ROX Hotel Ankara,3.5,16,"Necatibey Cad. Kızılay Mah. No: 5 / 2 B Çankaya, Ankara 06420 Türkiye",4
51,LUGAL,3.3,80,"Noktalı Sok. No:1 Kavaklıdere, Çankaya, Ankara 06700 Türkiye",1
2609,Hotel 2000 Kavaklıdere,2.2,182,"Kavaklıdere, Bestekar Cd No:29,, Ankara 06680 Türkiye",7
1139,Otel Büyük Erşan,2.5,5,"Selanaik Cad. No:74 Kızılay, Çankaya, Ankara Türkiye",2
2046,Hotel Samm,2.3,27,"Uğur Mumcu Cad. No:19 Gaziosmanpaşa, Ankara Türkiye",2
2295,Grand Sera Hotel,0.0,20,"Denizciler cad.No:16, Altindag, Ankara 06030 Türkiye",2
2949,Hm Commerce Hotel,2.3,45,"Melih Gökçek Bulvarı No.63 Yenimahalle, Ankara 06378 Türkiye",8
376,Class Otel,1.9,39,"Bestekar Sok. No:64 Kavaklıdere, Çankaya, Ankara 06680 Türkiye",7
986,Ismira Hotel Ankara,2.0,41,"G.M.K.Bulvari No:26 Kiziiay, Ankara 06440 Türkiye",9
1877,Midas Otel,3.1,69,"Tunus Cad. No:20 Kavaklıdere, Çankaya, Ankara 06680 Türkiye",2
1215,Stone House,3.0,1,"302. Sokak No:8 Kırkkonaklar mahallesi, Ankara 06610 Türkiye",8
2499,Lion City Hotel Ankara,3.0,4,"Örnek Mahallesi Omer Halis Demir Bulvari No. 1 Altındağ, Ankara 06080 Türkiye",6
2352,City Hotel,3.2,3,"Ulubatli Hasan Sok. Istasyon Mah, No:13 Etimesgut, Ankara Türkiye",9
2141,White Tail,1.0,3,"Elmadag Kayak Merkezi Elmadag, Ankara Türkiye",7
1032,Latifoglu Hotel,3.6,20,"Olgunlar Cad. No:10 Kavaklidere, Ankara 06170 Türkiye",5
2684,Double Comfort Hotel,2.5,18,"Sanayi Cad No 22 Anafartalar Mah. Altındağ, Ankara 06050 Türkiye",2
600,Rescate Boutique Hotel,4.1,40,"Rabindranath Tagore Cad No:80 Yildiz, Ankara 06560 Türkiye",1
43,Hotel Aldino,2.3,108,"Tunali Hilmi Caddesi Bulten Sokak, No: 22, Ankara 06700 Türkiye",3
843,Melih Otel,3.6,3,"Işıklar Cd. No: 9 Ulus, Ankara 06330 Türkiye",5
